oznam_title,contracting_authority_name,oznam_e_auction,estimatedprice,procedure_title,contract_type,contract_sub_type,nuts,gpa,result_e_auction,eu_funds,total_final_value_amount,total_final_value_vat_included,total_final_value_vat_rate,total_final_value_amount_minus_vat
Modernizácia vykurovania objektov nemocnice,"Nemocnica s poliklinikou, n.o. Revúca",,370000,Súťažný dialóg,Práce,Realizácia diela akýmkoľvek spôsobom zodpovedajúcim požiadavkám verejného obstarávateľa,SK032,false,false,false,373286,true,20,298628.8
Čistenie a zimná údržba miestnych komunikácií v meste Zvolen na roky 2015-2019,Mesto Zvolen,,1000000,Otvorená,Služby,16,SK032,false,true,false,418950,true,20,335160
Poskytovanie sociálnych služieb,Mesto Svätý Jur,,328000,Otvorená,Služby,25,SK010,false,true,false,4.37,true,0,4.37
Antimykotiká a antivírusové prostriedky na systémové použitie a imunoglobulíny,Univerzitná nemocnica Martin,,208525.46,Otvorená,Tovary,Kúpa,SK031,false,true,false,194028.209,true,10,174625.3881
"výkon stavebného dozoru na stavbe: Trhovište, Bánovce nad Ondavou - kanalizácia a ČOV","Východoslovenská vodárenská spoločnosť, a.s.",,242520,Otvorená,Služby,12,SK042,false,false,true,171900,false,,171900
Vybavenie laboratórií pre FEI STU,Slovenská technická univerzita v Bratislave - Rektorát,,375000,Otvorená,Tovary,Kúpa,SK010,true,true,true,444200,true,20,355360
Investície do zlepšenia technologického vybavenia podniku - Ing. Jozef Kandráč.,Ing. Jozef Kandráč,,256650,Otvorená,Tovary,Kúpa,SK041,false,false,true,284910,false,,284910
Pozemné ošetrenie lesných porastov na roky 2015 - 2018,"LESY Slovenskej republiky, štátny podnik",,2963336,Otvorená,Služby,27,SK0,false,false,false,281707.36,false,,281707.36
Pozemné ošetrenie lesných porastov na roky 2015 - 2018,"LESY Slovenskej republiky, štátny podnik",,2963336,Otvorená,Služby,27,SK0,false,false,false,2951141.6,false,,2951141.6
Pozemné ošetrenie lesných porastov na roky 2015 - 2018,"LESY Slovenskej republiky, štátny podnik",,2963336,Otvorená,Služby,27,SK0,false,false,false,381440.4,false,,381440.4
Výkon stavebného dozoru na stavbe: Moravany - kanalizácia,"Východoslovenská vodárenská spoločnosť, a.s.",,128620,Otvorená,Služby,12,SK042,false,false,true,92000,false,,92000
Zabezpečenie leteniek,Žilinská univerzita v Žiline - Rektorát,,749999,Otvorená,Služby,3,SK031,true,true,true,749999,false,,749999
Technologické zariadenia pre Univerzitný vedecký park UK - Prístroje,Univerzita Komenského v Bratislave,,7534400,Otvorená,Tovary,Kúpa,SK01,true,true,true,8337600,true,20,6670080
"Pravidelné kontroly, opravy a skúšky prenosných a pojazdných hasiacich prístrojov a zariadení na dodávku vody na hasenie požiarov",Finančné riaditeľstvo Slovenskej republiky,,160000,Otvorená,Služby,1,SK0,true,true,false,192000,true,20,153600
Historický mobiliár pre palác BH,Kancelária Národnej rady Slovenskej republiky,,481884,Otvorená,Tovary,Kúpa,SK,false,true,false,576352,true,20,461081.60000000003
"Zvýšenie výrobných kapacít pomocou nového technologického vybavenia v spoločnosti BENY, s.r.o.","BENY, s.r.o.",,293970,Otvorená,Tovary,Kúpa,SK,false,true,true,293500,false,,293500
Zvýšenie konkurencieschopnosti spoločnosti CD - profil s.r.o. prostredníctvom inovatívnej technológie,CD - profil s.r.o.,,419000,Otvorená,Tovary,Kúpa,SK031,false,true,true,268757.25,false,,268757.25
"Spotrebný materiál, informačné a propagačné výrobky",Centrum vedecko-technických informácií SR,,271505.6,Otvorená,Tovary,Kúpa,SK,false,true,true,48333.33,false,,48333.33
Verejné osvetlenie mesta Sereď,Mesto Sereď,,707500,Otvorená,Služby,1,SK021,false,true,false,848151,true,20,678520.8
Nábytok SAV Bratislava pre areál Dúbravská cesta,Slovenská akadémia vied (SAV),,3300000,Otvorená,Tovary,Kúpa,SK010,true,false,true,3184333.43,true,20,2547466.7440000004
Nábytok SAV Bratislava pre areál Dúbravská cesta,Slovenská akadémia vied (SAV),,3300000,Otvorená,Tovary,Kúpa,SK010,true,true,true,3501874.8,true,20,2801499.84
Ochranná a strážna služba v administratívnych budovách MDVRR SR.,"Ministerstvo dopravy, výstavby a regionálneho rozvoja Slovenskej republiky",,2500000,Otvorená,Služby,23,SK010,true,false,false,2500000,false,,2500000
